cntr,ra,dec,cra,cdec,naxis1,naxis2,ctype1,ctype2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,crota2,equinox,size,hdu
0,245.8707739,-26.3527067,16h_23m_28.99s,-26d_21m_09.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.8706189,-26.3525679,-2.7777778450e-04,2.7777778450e-04,0.0135792,2000,2111040,0
1,245.8707025,-26.0832623,16h_23m_28.97s,-26d_04m_59.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.8705478,-26.0831234,-2.7777778450e-04,2.7777778450e-04,0.0135477,2000,2111040,0
2,246.0038139,-26.1510489,16h_24m_00.92s,-26d_09m_03.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.0036591,-26.15091,-2.7777778450e-04,2.7777778450e-04,0.0149704,2000,2111040,0
3,246.0038928,-26.4204933,16h_24m_00.93s,-26d_25m_13.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.0037377,-26.4203545,-2.7777778450e-04,2.7777778450e-04,0.0150052,2000,2111040,0
4,246.0039722,-26.6899378,16h_24m_00.95s,-26d_41m_23.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.0038167,-26.6897989,-2.7777778450e-04,2.7777778450e-04,0.0150405,2000,2111040,0
5,246.0040519,-26.9593822,16h_24m_00.97s,-26d_57m_33.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.003896,-26.9592433,-2.7777778450e-04,2.7777778450e-04,0.0150764,2000,2111040,0
6,246.136732,-27.1610261,16h_24m_32.82s,-27d_09m_39.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.1365759,-27.1608872,-2.7777778450e-04,2.7777778450e-04,0.0149046,2000,2111040,0
7,246.1366531,-26.8915816,16h_24m_32.80s,-26d_53m_29.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.1364973,-26.8914428,-2.7777778450e-04,2.7777778450e-04,0.0148688,2000,2111040,0
8,246.1365744,-26.6221372,16h_24m_32.78s,-26d_37m_19.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.136419,-26.6219983,-2.7777778450e-04,2.7777778450e-04,0.0148336,2000,2111040,0
9,246.1364962,-26.3526928,16h_24m_32.76s,-26d_21m_09.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.1363412,-26.3525539,-2.7777778450e-04,2.7777778450e-04,0.0147989,2000,2111040,0
10,246.1364184,-26.0832483,16h_24m_32.74s,-26d_04m_59.7s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.1362637,-26.0831095,-2.7777778450e-04,2.7777778450e-04,0.0147647,2000,2111040,0
11,246.2692682,-26.1509929,16h_25m_04.62s,-26d_09m_03.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.2691134,-26.1508541,-2.7777778450e-04,2.7777778450e-04,0.0115938,2000,2111040,0
12,246.2693294,-26.4204374,16h_25m_04.64s,-26d_25m_13.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.2691743,-26.4202985,-2.7777778450e-04,2.7777778450e-04,0.0116207,2000,2111040,0
13,246.2693909,-26.6898818,16h_25m_04.65s,-26d_41m_23.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.2692354,-26.6897429,-2.7777778450e-04,2.7777778450e-04,0.0116481,2000,2111040,0
14,246.2694528,-26.9593262,16h_25m_04.67s,-26d_57m_33.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.2692969,-26.9591874,-2.7777778450e-04,2.7777778450e-04,0.0116758,2000,2111040,0
15,246.4017101,-27.166501,16h_25m_36.41s,-27d_09m_59.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.401554,-27.1663622,-2.7777778450e-04,2.7777778450e-04,0.0126269,2000,2111040,0
16,246.4016433,-26.8970566,16h_25m_36.39s,-26d_53m_49.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.4014875,-26.8969178,-2.7777778450e-04,2.7777778450e-04,0.0125967,2000,2111040,0
17,246.4015766,-26.6276122,16h_25m_36.38s,-26d_37m_39.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.4014212,-26.6274733,-2.7777778450e-04,2.7777778450e-04,0.0125668,2000,2111040,0
18,246.4015102,-26.3581677,16h_25m_36.36s,-26d_21m_29.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.4013552,-26.3580289,-2.7777778450e-04,2.7777778450e-04,0.0125374,2000,2111040,0
19,246.4014443,-26.0887233,16h_25m_36.35s,-26d_05m_19.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.4012896,-26.0885844,-2.7777778450e-04,2.7777778450e-04,0.0125084,2000,2111040,0
21,246.533126,-26.4133864,16h_26m_07.95s,-26d_24m_48.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.5329709,-26.4132476,-2.7777778450e-04,2.7777778450e-04,0.0005214,2000,2111040,0
22,246.5331291,-26.6828309,16h_26m_07.95s,-26d_40m_58.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.5329737,-26.682692,-2.7777778450e-04,2.7777778450e-04,0.0005227,2000,2111040,0
23,246.5331322,-26.9522753,16h_26m_07.95s,-26d_57m_08.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,246.5329764,-26.9521364,-2.7777778450e-04,2.7777778450e-04,0.0005239,2000,2111040,0
24,245.3384983,-26.147205,16h_21m_21.24s,-26d_08m_49.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.3383436,-26.1470661,-2.7777778450e-04,2.7777778450e-04,0.0003041,2000,2111040,0
25,245.3385003,-26.4166494,16h_21m_21.24s,-26d_24m_59.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.3383452,-26.4165106,-2.7777778450e-04,2.7777778450e-04,0.0003048,2000,2111040,0
26,245.3385022,-26.6860939,16h_21m_21.24s,-26d_41m_09.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.3383468,-26.685955,-2.7777778450e-04,2.7777778450e-04,0.0003055,2000,2111040,0
27,245.3385042,-26.9555383,16h_21m_21.24s,-26d_57m_19.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,245.3383484,-26.9553994,-2.7777778450e-04,2.7777778450e-04,0.0003063,2000,2111040,0
