FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA;nan;90.25773692131042
model1;KNN 3;Percentage;0.978142076503;71.71603775024414
model1;KNN 5;PCA;nan;87.58531785011292
model1;KNN 5;Percentage;0.976470588235;71.25437378883362
model1;KNN 7;PCA;nan;81.83110928535461
model1;KNN 7;Percentage;0.976470588235;70.21023797988892
model1;SVM;PCA;nan;87.68147873878479
model1;SVM;Percentage;0.978142076503;69.79164862632751
model1;Multi Layer Perceptron;PCA;nan;91.67121696472168
model1;Multi Layer Perceptron;Percentage;0.907103825137;72.16572713851929
model2;KNN 3;PCA;nan;91.4815239906311
model2;KNN 3;Percentage;0.978142076503;69.36900448799133
model2;KNN 5;PCA;nan;90.56307888031006
model2;KNN 5;Percentage;0.976470588235;69.05089068412781
model2;KNN 7;PCA;nan;96.09311389923096
model2;KNN 7;Percentage;0.976470588235;69.64620900154114
model2;SVM;PCA;nan;91.43751573562622
model2;SVM;Percentage;0.978142076503;69.40183115005493
model2;Multi Layer Perceptron;PCA;nan;94.49634337425232
model2;Multi Layer Perceptron;Percentage;0.907103825137;70.69082069396973
