FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;Full;1.0;389.1148521900177
model1;KNN 3;PCA;1.0;125.1534960269928
model1;KNN 3;Percentage;1.0;131.53597784042358
model1;KNN 5;Full;1.0;134.98653364181519
model1;KNN 5;PCA;1.0;127.98671507835388
model1;KNN 5;Percentage;1.0;135.14241242408752
model1;KNN 7;Full;1.0;131.21230602264404
model1;KNN 7;PCA;1.0;124.75513577461243
model1;KNN 7;Percentage;1.0;130.92274618148804
model1;SVM;Full;1.0;131.48570942878723
model1;SVM;PCA;1.0;123.90436244010925
model1;SVM;Percentage;1.0;132.0169358253479
model2;KNN 3;Full;1.0;131.7626247406006
model2;KNN 3;PCA;1.0;123.30864834785461
model2;KNN 3;Percentage;1.0;130.45701265335083
model2;KNN 5;Full;1.0;131.6652386188507
model2;KNN 5;PCA;1.0;122.91494965553284
model2;KNN 5;Percentage;1.0;130.82866859436035
model2;KNN 7;Full;1.0;131.39155912399292
model2;KNN 7;PCA;1.0;122.82631659507751
model2;KNN 7;Percentage;1.0;130.60736680030823
model2;SVM;Full;1.0;131.41352081298828
model2;SVM;PCA;1.0;122.8457977771759
model2;SVM;Percentage;1.0;130.5164623260498
