FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;Full;0.7297297297297297;1279.5068452358246
model1;KNN 3;PCA;1.0;1428.7422516345978
model1;KNN 3;Percentage;0.7297297297297297;1322.1250262260437
model1;KNN 5;Full;0.7391304347826086;1266.3420643806458
model1;KNN 5;PCA;1.0;1412.3489050865173
model1;KNN 5;Percentage;0.7391304347826086;1321.0658240318298
model1;KNN 7;Full;0.703125;1266.0226352214813
model1;KNN 7;PCA;1.0;1392.94185256958
model1;KNN 7;Percentage;0.703125;1316.7798466682434
model1;SVM;Full;0.6756756756756757;1267.7180798053741
model1;SVM;PCA;1.0;1381.7676990032196
model1;SVM;Percentage;0.6756756756756757;1316.9110646247864
model1;Multi Layer Perceptron;Full;0.7027027027027027;1431.0624582767487
model1;Multi Layer Perceptron;PCA;1.0;1400.9316473007202
model1;Multi Layer Perceptron;Percentage;0.7027027027027027;1477.675960302353
model2;KNN 3;Full;0.7164179104477612;1265.592205286026
model2;KNN 3;PCA;1.0;1365.3664894104004
model2;KNN 3;Percentage;0.7164179104477612;1312.2971541881561
model2;KNN 5;Full;0.7936507936507936;1263.0739362239838
model2;KNN 5;PCA;1.0;1376.8172376155853
model2;KNN 5;Percentage;0.7936507936507936;1320.6726567745209
model2;KNN 7;Full;0.8064516129032258;1261.8068826198578
model2;KNN 7;PCA;1.0;1377.724419593811
model2;KNN 7;Percentage;0.8064516129032258;1322.3333694934845
model2;SVM;Full;0.7611940298507462;1268.240573644638
model2;SVM;PCA;1.0;1381.2681567668915
model2;SVM;Percentage;0.7611940298507462;1312.9909868240356
model2;Multi Layer Perceptron;Full;0.7611940298507462;1407.8328981399536
model2;Multi Layer Perceptron;PCA;1.0;1390.1418895721436
model2;Multi Layer Perceptron;Percentage;0.7611940298507462;1456.5961253643036
