FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
cra;KNN 3;PCA-30;1.0;5636.623059511185
cdec;KNN 3;PCA-30;1.0;5346.71976351738
cra;KNN 3;PCA-50;1.0;6203.87296295166
cdec;KNN 3;PCA-50;1.0;5952.819667339325
cra;KNN 3;PCA-70;1.0;6826.752717494965
cdec;KNN 3;PCA-70;0.999057492931;6522.69980764389
cra;KNN 3;Percentage-30;1.0;2004.6285288333893
cdec;KNN 3;Percentage-30;1.0;1950.7490255832672
cra;KNN 3;Percentage-50;1.0;2004.6560542583466
cdec;KNN 3;Percentage-50;1.0;1921.888867855072
cra;KNN 3;Percentage-70;1.0;1947.5173811912537
cdec;KNN 3;Percentage-70;1.0;1990.441323041916
cra;KNN 5;PCA-30;1.0;5020.083683252335
cdec;KNN 5;PCA-30;1.0;4816.320130348206
cra;KNN 5;PCA-50;1.0;5399.876390457153
cdec;KNN 5;PCA-50;1.0;4940.765484571457
cra;KNN 5;PCA-70;1.0;6286.668404579163
cdec;KNN 5;PCA-70;1.0;5310.973418951035
cra;KNN 5;Percentage-30;1.0;1411.367772102356
cdec;KNN 5;Percentage-30;1.0;1474.2608721256256
cra;KNN 5;Percentage-50;1.0;1449.8131656646729
cdec;KNN 5;Percentage-50;1.0;1470.881674528122
cra;KNN 5;Percentage-70;1.0;1596.3745727539062
cdec;KNN 5;Percentage-70;1.0;1602.2205922603607
cra;KNN 7;PCA-30;1.0;5640.023867607117
cdec;KNN 7;PCA-30;1.0;4493.362432718277
cra;KNN 7;PCA-50;1.0;6062.776723861694
cdec;KNN 7;PCA-50;1.0;4639.808138132095
cra;KNN 7;PCA-70;1.0;5651.464428663254
cdec;KNN 7;PCA-70;1.0;4702.632391452789
cra;KNN 7;Percentage-30;1.0;1567.8939535617828
cdec;KNN 7;Percentage-30;1.0;1395.29341340065
cra;KNN 7;Percentage-50;1.0;1424.9910626411438
cdec;KNN 7;Percentage-50;1.0;1361.3105635643005
cra;KNN 7;Percentage-70;1.0;1381.7584419250488
cdec;KNN 7;Percentage-70;1.0;1611.446454524994
cra;SVM;PCA-30;1.0;6283.127500295639
cdec;SVM;PCA-30;0.999068901304;5165.293449163437
cra;SVM;PCA-50;1.0;6792.545332670212
cdec;SVM;PCA-50;1.0;5153.161155939102
cra;SVM;PCA-70;1.0;6915.406158208847
cdec;SVM;PCA-70;1.0;5085.314785718918
cra;SVM;Percentage-30;1.0;2160.20428609848
cdec;SVM;Percentage-30;1.0;1877.5215606689453
cra;SVM;Percentage-50;1.0;2100.490492582321
cdec;SVM;Percentage-50;1.0;2106.1481087207794
cra;SVM;Percentage-70;1.0;1912.6598114967346
cdec;SVM;Percentage-70;1.0;2200.4447951316833
cra;Multi Layer Perceptron;PCA-30;1.0;5482.116335630417
cdec;Multi Layer Perceptron;PCA-30;1.0;2206.0230865478516
cra;Multi Layer Perceptron;PCA-50;1.0;5829.517005443573
cdec;Multi Layer Perceptron;PCA-50;1.0;1810.231368303299
cra;Multi Layer Perceptron;PCA-70;1.0;5427.530621051788
cdec;Multi Layer Perceptron;PCA-70;1.0;1775.1935937404633
cra;Multi Layer Perceptron;Percentage-30;1.0;2016.9363029003143
cdec;Multi Layer Perceptron;Percentage-30;1.0;2063.529289960861
cra;Multi Layer Perceptron;Percentage-50;1.0;2113.095954656601
cdec;Multi Layer Perceptron;Percentage-50;1.0;2042.5015723705292
cra;Multi Layer Perceptron;Percentage-70;1.0;1339.8989577293396
cdec;Multi Layer Perceptron;Percentage-70;1.0;918.2075788974762
