FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
cra;KNN 3;PCA;1.0;15829.398205280304
cra;KNN 3;Percentage;1.0;5365.79453587532
cra;KNN 5;PCA;nan;13453.076668024063
cra;KNN 5;Percentage;1.0;3668.335633277893
cra;KNN 7;PCA;nan;13525.210675477982
cra;KNN 7;Percentage;1.0;3667.956681728363
cra;SVM;PCA;1.0;15605.525566577911
cra;SVM;Percentage;1.0;5337.501084089279
cra;Multi Layer Perceptron;PCA;1.0;15590.55676484108
cra;Multi Layer Perceptron;Percentage;1.0;5354.646320104599
cdec;KNN 3;PCA;1.0;12862.580941677094
cdec;KNN 3;Percentage;1.0;5363.570246696472
cdec;KNN 5;PCA;nan;11109.08402299881
cdec;KNN 5;Percentage;1.0;3682.1344685554504
cdec;KNN 7;PCA;nan;11110.865232229233
cdec;KNN 7;Percentage;1.0;3667.376371383667
cdec;SVM;PCA;1.0;12857.763717651367
cdec;SVM;Percentage;1.0;5361.065823793411
cdec;Multi Layer Perceptron;PCA;1.0;12885.447941064835
cdec;Multi Layer Perceptron;Percentage;1.0;5376.796853303909
