FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;PRECISION;RECALL;TIME
cra;KNN 3;PCA-30;1.0;1.0;1.0;13762.83025932312
cdec;KNN 3;PCA-30;1.0;1.0;1.0;12918.484389066696
cra;KNN 3;PCA-50;1.0;1.0;1.0;15428.377409219742
cdec;KNN 3;PCA-50;1.0;1.0;1.0;13950.83891749382
cra;KNN 3;PCA-70;1.0;1.0;1.0;14734.421248674393
cdec;KNN 3;PCA-70;0.99907493062;0.99938328708;0.99907493062;15222.620368480682
cra;KNN 3;ANOVA-30;1.0;1.0;1.0;4269.144155502319
cdec;KNN 3;ANOVA-30;1.0;1.0;1.0;4566.672641038895
cra;KNN 3;ANOVA-50;1.0;1.0;1.0;4391.823113679886
cdec;KNN 3;ANOVA-50;1.0;1.0;1.0;4498.302318096161
cra;KNN 3;ANOVA-70;1.0;1.0;1.0;4399.909987926483
cdec;KNN 3;ANOVA-70;1.0;1.0;1.0;4465.607918739319
cra;KNN 5;PCA-30;1.0;1.0;1.0;11424.857129096985
cdec;KNN 5;PCA-30;1.0;1.0;1.0;10693.82979273796
cra;KNN 5;PCA-50;1.0;1.0;1.0;12855.093302965164
cdec;KNN 5;PCA-50;0.995348837209;0.995348837209;0.995348837209;11946.901988744736
cra;KNN 5;PCA-70;1.0;1.0;1.0;14421.615769147873
cdec;KNN 5;PCA-70;1.0;1.0;1.0;12393.85577917099
cra;KNN 5;ANOVA-30;1.0;1.0;1.0;3347.3548035621643
cdec;KNN 5;ANOVA-30;1.0;1.0;1.0;3220.963865995407
cra;KNN 5;ANOVA-50;1.0;1.0;1.0;3186.2143800258636
cdec;KNN 5;ANOVA-50;1.0;1.0;1.0;3411.994735956192
cra;KNN 5;ANOVA-70;1.0;1.0;1.0;3691.5304186344147
cdec;KNN 5;ANOVA-70;1.0;1.0;1.0;3515.763550043106
cra;KNN 7;PCA-30;1.0;1.0;1.0;12653.899159193039
cdec;KNN 7;PCA-30;1.0;1.0;1.0;10693.014703512192
cra;KNN 7;PCA-50;1.0;1.0;1.0;13483.276381969452
cdec;KNN 7;PCA-50;1.0;1.0;1.0;10207.219017505646
cra;KNN 7;PCA-70;1.0;1.0;1.0;13987.423570632935
cdec;KNN 7;PCA-70;0.996226415094;0.996226415094;0.996226415094;11952.590851068497
cra;KNN 7;ANOVA-30;1.0;1.0;1.0;3191.9896314144135
cdec;KNN 7;ANOVA-30;1.0;1.0;1.0;2970.7409093379974
cra;KNN 7;ANOVA-50;1.0;1.0;1.0;3075.7640845775604
cdec;KNN 7;ANOVA-50;1.0;1.0;1.0;3140.1410450935364
cra;KNN 7;ANOVA-70;1.0;1.0;1.0;3029.9948711395264
cdec;KNN 7;ANOVA-70;1.0;1.0;1.0;3491.172647714615
cra;SVM;PCA-30;1.0;1.0;1.0;11935.556906223297
cdec;SVM;PCA-30;1.0;1.0;1.0;11429.754295110703
cra;SVM;PCA-50;1.0;1.0;1.0;15279.969033002853
cdec;SVM;PCA-50;0.999090081893;0.999241734911;0.999090081893;11846.199655056
cra;SVM;PCA-70;1.0;1.0;1.0;15082.02155303955
cdec;SVM;PCA-70;1.0;1.0;1.0;11755.351465940475
cra;SVM;ANOVA-30;1.0;1.0;1.0;4722.979964971542
cdec;SVM;ANOVA-30;1.0;1.0;1.0;4247.884478807449
cra;SVM;ANOVA-50;1.0;1.0;1.0;4496.255125761032
cdec;SVM;ANOVA-50;1.0;1.0;1.0;4201.901326417923
cra;SVM;ANOVA-70;1.0;1.0;1.0;4414.251206874847
cdec;SVM;ANOVA-70;1.0;1.0;1.0;4838.024634838104
cra;Multi Layer Perceptron;PCA-30;1.0;1.0;1.0;12078.940171003342
cdec;Multi Layer Perceptron;PCA-30;0.99907493062;0.99922910885;0.99907493062;5698.399752378464
cra;Multi Layer Perceptron;PCA-50;1.0;1.0;1.0;13510.313306808472
cdec;Multi Layer Perceptron;PCA-50;1.0;1.0;1.0;5006.320182085037
cra;Multi Layer Perceptron;PCA-70;1.0;1.0;1.0;13704.72715806961
cdec;Multi Layer Perceptron;PCA-70;1.0;1.0;1.0;4109.5125958919525
cra;Multi Layer Perceptron;ANOVA-30;1.0;1.0;1.0;4409.87123465538
cdec;Multi Layer Perceptron;ANOVA-30;1.0;1.0;1.0;4480.506036043167
cra;Multi Layer Perceptron;ANOVA-50;1.0;1.0;1.0;4488.328259944916
cdec;Multi Layer Perceptron;ANOVA-50;1.0;1.0;1.0;4388.475049734116
cra;Multi Layer Perceptron;ANOVA-70;1.0;1.0;1.0;4422.5245950222015
cdec;Multi Layer Perceptron;ANOVA-70;1.0;1.0;1.0;2710.4867403507233
