FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
cra;KNN 3;PCA;1.0;2267.923897743225
cra;KNN 3;Percentage;1.0;854.0296854972839
cra;KNN 5;PCA;nan;2009.074048757553
cra;KNN 5;Percentage;1.0;651.3065674304962
cra;KNN 7;PCA;nan;2072.866098880768
cra;KNN 7;Percentage;1.0;656.2867867946625
cra;SVM;PCA;1.0;2293.6722774505615
cra;SVM;Percentage;1.0;860.2122666835785
cra;Multi Layer Perceptron;PCA;1.0;2256.5220091342926
cra;Multi Layer Perceptron;Percentage;1.0;853.2420134544373
cdec;KNN 3;PCA;1.0;1825.6832206249237
cdec;KNN 3;Percentage;1.0;854.7901763916016
cdec;KNN 5;PCA;nan;1645.4599232673645
cdec;KNN 5;Percentage;1.0;652.6443665027618
cdec;KNN 7;PCA;nan;1648.3048186302185
cdec;KNN 7;Percentage;1.0;650.5851049423218
cdec;SVM;PCA;1.0;1827.1940639019012
cdec;SVM;Percentage;1.0;855.3240048885345
cdec;Multi Layer Perceptron;PCA;1.0;1826.4267859458923
cdec;Multi Layer Perceptron;Percentage;1.0;853.0585453510284
