FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
cntr;Linear Regression;PCA;1599.1615914536742;3352.6763269901276
cntr;Linear Regression;Percentage;1599.1615914536742;901.5890829563141
cntr;KNR 3;PCA;1494.531416400426;3250.542512655258
cntr;KNR 3;Percentage;1494.531416400426;900.0105133056641
cntr;KNR 5;PCA;2040.5769968051118;3212.640231370926
cntr;KNR 5;Percentage;2040.5769968051118;747.9949805736542
cntr;KNR 7;PCA;1622.4079024581076;3265.6480193138123
cntr;KNR 7;Percentage;1622.4079024581076;745.2916667461395
cntr;SVR;PCA;1531.3898083067093;3355.379411458969
cntr;SVR;Percentage;1531.3898083067093;915.9599168300629
cntr;Multi Layer Perceptron;PCA;2927.963759331977;5675.420226097107
cntr;Multi Layer Perceptron;Percentage;6684.614205952576;1071.2514522075653
ra;Linear Regression;PCA;0.0;3193.220395088196
ra;Linear Regression;Percentage;0.0;888.1607534885406
ra;KNR 3;PCA;0.0;3029.2511746883392
ra;KNR 3;Percentage;0.0;875.2794895172119
ra;KNR 5;Percentage;0.0;661.8324158191681
ra;KNR 7;Percentage;0.0;658.4852290153503
ra;SVR;PCA;0.0;3029.4111132621765
ra;SVR;Percentage;0.0;881.2875564098358
ra;Multi Layer Perceptron;PCA;0.0;3050.562761068344
ra;Multi Layer Perceptron;Percentage;0.0;904.1191475391388
dec;Linear Regression;PCA;0.0;3082.1549723148346
dec;Linear Regression;Percentage;0.0;888.3101859092712
dec;KNR 3;PCA;0.0;3034.896374940872
dec;KNR 3;Percentage;0.0;879.9194853305817
dec;KNR 5;Percentage;0.0;668.1810760498047
dec;KNR 7;Percentage;0.0;667.4018774032593
dec;SVR;PCA;0.0;3042.6791639328003
dec;SVR;Percentage;0.0;893.0007035732269
dec;Multi Layer Perceptron;PCA;0.0;3037.7207159996033
dec;Multi Layer Perceptron;Percentage;0.0;893.8182983398438
crval1;Linear Regression;PCA;0.0;3040.254771709442
crval1;Linear Regression;Percentage;0.0;880.3390448093414
crval1;KNR 3;PCA;0.0;3041.044718027115
crval1;KNR 3;Percentage;0.0;876.542861700058
crval1;KNR 5;Percentage;0.0;666.5470650196075
crval1;KNR 7;Percentage;0.0;669.8998417854309
crval1;SVR;PCA;0.0;3050.2997024059296
crval1;SVR;Percentage;0.0;895.7327790260315
crval1;Multi Layer Perceptron;PCA;0.0;3063.0814740657806
crval1;Multi Layer Perceptron;Percentage;0.0;887.5256726741791
crval2;Linear Regression;PCA;0.0;3068.7106153964996
crval2;Linear Regression;Percentage;0.0;909.2874705791473
crval2;KNR 3;PCA;0.0;3044.1364147663116
crval2;KNR 3;Percentage;0.0;878.1925065517426
crval2;KNR 5;Percentage;0.0;661.3739306926727
crval2;KNR 7;Percentage;0.0;659.5388476848602
crval2;SVR;PCA;0.0;3038.5497126579285
crval2;SVR;Percentage;0.0;886.7590734958649
crval2;Multi Layer Perceptron;PCA;0.0;3034.2179176807404
crval2;Multi Layer Perceptron;Percentage;0.0;882.2176375389099
crota2;Linear Regression;PCA;0.0;3043.3362929821014
crota2;Linear Regression;Percentage;0.0;886.5423855781555
crota2;KNR 3;PCA;0.0;3045.794362306595
crota2;KNR 3;Percentage;0.0;890.7288310527802
crota2;KNR 5;Percentage;0.0;663.3285953998566
crota2;KNR 7;Percentage;0.0;664.0745050907135
crota2;SVR;PCA;0.0;3024.8215770721436
crota2;SVR;Percentage;0.0;882.5294847488403
crota2;Multi Layer Perceptron;PCA;0.0;3029.9936027526855
crota2;Multi Layer Perceptron;Percentage;0.0;878.4742851257324
