FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
cntr;Linear Regression;PCA;1599.1615914536742;3225.187809944153
cntr;Linear Regression;Percentage;1599.1615914536742;920.1580348014832
cntr;KNR 3;PCA;1494.531416400426;3241.481253862381
cntr;KNR 3;Percentage;1494.531416400426;926.1062138080597
cntr;KNR 5;PCA;2040.5769968051118;3266.4976370334625
cntr;KNR 5;Percentage;2040.5769968051118;770.1169040203094
cntr;KNR 7;PCA;1622.4079024581076;3265.3031997680664
cntr;KNR 7;Percentage;1622.4079024581076;768.6399011611938
cntr;SVR;PCA;1531.3898083067093;3255.921726703644
cntr;SVR;Percentage;1531.3898083067093;922.0387399196625
cntr;Multi Layer Perceptron;PCA;2927.963759331977;5673.021157503128
cntr;Multi Layer Perceptron;Percentage;7006.449162523828;1090.0765323638916
ra;Linear Regression;PCA;0.0;3205.5761890411377
ra;Linear Regression;Percentage;0.0;907.3334655761719
ra;KNR 3;PCA;0.0;3148.926098585129
ra;KNR 3;Percentage;0.0;903.2744400501251
