FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
cntr;Linear Regression;PCA-30;795.816025112;19503.732488393784
ra;Linear Regression;PCA-30;0.0;19447.45105099678
dec;Linear Regression;PCA-30;0.00014754066153;19274.402990579605
crval1;Linear Regression;PCA-30;0.0;19469.772983551025
crval2;Linear Regression;PCA-30;0.0;22303.95354938507
crota2;Linear Regression;PCA-30;0.0;20936.289301633835
cntr;Linear Regression;PCA-50;795.176829221;22024.887645721436
ra;Linear Regression;PCA-50;3.1855365101e-08;19013.51996922493
dec;Linear Regression;PCA-50;1.04791662978e-08;20039.812649726868
crval1;Linear Regression;PCA-50;0.0;18190.232095479965
crval2;Linear Regression;PCA-50;0.0;21189.396419286728
crota2;Linear Regression;PCA-50;0.0;22536.110529899597
cntr;Linear Regression;PCA-70;795.816025112;21373.65038394928
ra;Linear Regression;PCA-70;0.0;20709.480062007904
dec;Linear Regression;PCA-70;0.0;18935.814556121826
crval1;Linear Regression;PCA-70;0.0;19491.582334280014
crval2;Linear Regression;PCA-70;0.0;20896.48965072632
crota2;Linear Regression;PCA-70;0.0;20246.207849502563
cntr;Linear Regression;ANOVA-30;783.459594716;5740.516092538834
ra;Linear Regression;ANOVA-30;0.0;5695.918834686279
dec;Linear Regression;ANOVA-30;0.0;5914.898531675339
crval1;Linear Regression;ANOVA-30;0.0;4718.794080495834
crval2;Linear Regression;ANOVA-30;0.0;4973.051054954529
crota2;Linear Regression;ANOVA-30;0.0;5027.574243307114
cntr;Linear Regression;ANOVA-50;792.395194728;5271.495033502579
ra;Linear Regression;ANOVA-50;0.0;5071.379364728928
dec;Linear Regression;ANOVA-50;0.0;5468.659814834595
crval1;Linear Regression;ANOVA-50;0.0;5284.842374563217
crval2;Linear Regression;ANOVA-50;0.0;4258.094977855682
crota2;Linear Regression;ANOVA-50;0.0;5095.316826581955
cntr;Linear Regression;ANOVA-70;819.16058924;5158.074590682983
ra;Linear Regression;ANOVA-70;0.0;5154.242716789246
dec;Linear Regression;ANOVA-70;0.0;5099.264711141586
crval1;Linear Regression;ANOVA-70;0.0;5252.279608249664
crval2;Linear Regression;ANOVA-70;0.0;5094.508487701416
crota2;Linear Regression;ANOVA-70;0.0;4442.45928478241
cntr;KNR 3;PCA-30;822.676394467;19051.10620522499
ra;KNR 3;PCA-30;0.0;19137.38780450821
dec;KNR 3;PCA-30;0.0;20054.20483493805
crval1;KNR 3;PCA-30;7.41775543569e-31;20039.206627845764
crval2;KNR 3;PCA-30;0.0;20912.37034010887
crota2;KNR 3;PCA-30;0.0;20516.757434129715
cntr;KNR 3;PCA-50;823.331993569;18376.652413129807
ra;KNR 3;PCA-50;2.58397931512e-17;19464.697916269302
dec;KNR 3;PCA-50;0.0;19259.471239566803
crval1;KNR 3;PCA-50;0.0;20052.240258693695
crval2;KNR 3;PCA-50;0.0;20964.599514722824
crota2;KNR 3;PCA-50;1.70065733626e-43;20072.614803552628
cntr;KNR 3;PCA-70;824.155823293;20210.158164024353
ra;KNR 3;PCA-70;0.0;17711.49324464798
dec;KNR 3;PCA-70;0.0;19125.78078198433
crval1;KNR 3;PCA-70;1.48285431883e-16;20279.912211418152
crval2;KNR 3;PCA-70;0.000133702181752;19470.04110646248
crota2;KNR 3;PCA-70;8.27205882353e-17;21509.701464414597
cntr;KNR 3;ANOVA-30;787.038725052;6171.688137292862
ra;KNR 3;ANOVA-30;0.0;5811.689909696579
dec;KNR 3;ANOVA-30;0.0;5088.65355348587
crval1;KNR 3;ANOVA-30;0.0;4879.597358226776
crval2;KNR 3;ANOVA-30;0.0;4665.97301530838
crota2;KNR 3;ANOVA-30;0.0;4932.987324714661
cntr;KNR 3;ANOVA-50;826.825952523;5699.51312828064
ra;KNR 3;ANOVA-50;0.0;5147.871254205704
dec;KNR 3;ANOVA-50;0.0;5046.701235294342
crval1;KNR 3;ANOVA-50;0.0;5172.428095817566
crval2;KNR 3;ANOVA-50;0.0;4763.278087615967
crota2;KNR 3;ANOVA-50;0.0;5229.0942306518555
cntr;KNR 3;ANOVA-70;841.390467461;5252.958811044693
ra;KNR 3;ANOVA-70;0.0;5298.898168325424
dec;KNR 3;ANOVA-70;0.0;5011.231052398682
crval1;KNR 3;ANOVA-70;0.0;5358.193534374237
crval2;KNR 3;ANOVA-70;0.0;5491.297351360321
crota2;KNR 3;ANOVA-70;0.0;5474.372994661331
cntr;KNR 5;PCA-30;1739.29453471;19489.104656934738
ra;KNR 5;PCA-30;0.0;17114.4413793087
dec;KNR 5;PCA-30;0.0;17696.4635989666
crval1;KNR 5;PCA-30;0.0;16868.687044382095
crval2;KNR 5;PCA-30;0.00146410593887;17473.920081853867
crota2;KNR 5;PCA-30;0.0;18275.7233607769
cntr;KNR 5;PCA-50;1743.46133333;19727.626313447952
ra;KNR 5;PCA-50;0.0;17560.009717702866
dec;KNR 5;PCA-50;0.000300001283298;17745.547294139862
crval1;KNR 5;PCA-50;1.7579398928e-15;17619.691076993942
crval2;KNR 5;PCA-50;0.0;17625.41243982315
crota2;KNR 5;PCA-50;6.20689655172e-17;19723.16737627983
cntr;KNR 5;PCA-70;1743.46133333;20500.183510541916
ra;KNR 5;PCA-70;0.0;18383.360175848007
dec;KNR 5;PCA-70;0.0;18220.535326957703
crval1;KNR 5;PCA-70;9.73383845679e-17;17698.089863300323
crval2;KNR 5;PCA-70;0.0;19753.813928842545
crota2;KNR 5;PCA-70;0.0;20100.921644687653
cntr;KNR 5;ANOVA-30;1757.50869565;4508.976500034332
ra;KNR 5;ANOVA-30;0.0;3664.66827917099
dec;KNR 5;ANOVA-30;0.0;3796.2822103500366
crval1;KNR 5;ANOVA-30;0.0;3852.5289573669434
crval2;KNR 5;ANOVA-30;0.0;3766.4093317985535
crota2;KNR 5;ANOVA-30;0.0;3450.1185274124146
cntr;KNR 5;ANOVA-50;1743.27159322;4196.252050161362
ra;KNR 5;ANOVA-50;0.0;3479.00604057312
dec;KNR 5;ANOVA-50;0.0;3547.269631385803
crval1;KNR 5;ANOVA-50;0.0;3348.2147254943848
crval2;KNR 5;ANOVA-50;0.0;3614.7560958862305
