FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
cntr;Linear Regression;PCA-30;795.448522486;8791.149624347687
ra;Linear Regression;PCA-30;1.15081717987e-09;8617.550747871399
dec;Linear Regression;PCA-30;0.0;8397.681388139725
crval1;Linear Regression;PCA-30;0.0;9515.896151781082
crval2;Linear Regression;PCA-30;0.000210991097845;9841.089809417725
crota2;Linear Regression;PCA-30;0.0;10618.678841352463
cntr;Linear Regression;PCA-50;795.816025112;9435.799300432205
ra;Linear Regression;PCA-50;0.0;8299.2113301754
dec;Linear Regression;PCA-50;0.0;8672.68667769432
crval1;Linear Regression;PCA-50;0.0;8714.579040050507
crval2;Linear Regression;PCA-50;0.0;9150.127450466156
crota2;Linear Regression;PCA-50;0.0;10105.395565032959
cntr;Linear Regression;PCA-70;795.816025112;10124.298689126968
ra;Linear Regression;PCA-70;0.0;9711.319431304932
dec;Linear Regression;PCA-70;0.0;8435.178046226501
crval1;Linear Regression;PCA-70;1.43600178711e-09;8756.046526432037
crval2;Linear Regression;PCA-70;0.0;8313.4943857193
crota2;Linear Regression;PCA-70;0.0;9037.472473621368
cntr;Linear Regression;Percentage-30;814.060104221;2610.612514257431
ra;Linear Regression;Percentage-30;0.0;2680.733509540558
dec;Linear Regression;Percentage-30;0.0;2717.8825736045837
crval1;Linear Regression;Percentage-30;0.0;2152.784196615219
crval2;Linear Regression;Percentage-30;0.0;2261.28857088089
crota2;Linear Regression;Percentage-30;0.0;2346.5149326324463
cntr;Linear Regression;Percentage-50;796.508134053;2193.83442735672
ra;Linear Regression;Percentage-50;0.0;2230.9915306568146
dec;Linear Regression;Percentage-50;0.0;2296.3632142543793
crval1;Linear Regression;Percentage-50;0.0;2282.0954205989838
crval2;Linear Regression;Percentage-50;0.0;2113.470664024353
crota2;Linear Regression;Percentage-50;0.0;2262.4942715168
cntr;Linear Regression;Percentage-70;783.735848537;2379.3071777820587
ra;Linear Regression;Percentage-70;0.0;2144.5346291065216
dec;Linear Regression;Percentage-70;0.0;2185.3015291690826
crval1;Linear Regression;Percentage-70;0.0;2257.9085154533386
crval2;Linear Regression;Percentage-70;0.0;2301.085300922394
crota2;Linear Regression;Percentage-70;0.0;2061.5139076709747
cntr;KNR 3;PCA-30;824.155912539;8726.09327340126
ra;KNR 3;PCA-30;1.90226334979e-15;8727.317698717117
dec;KNR 3;PCA-30;0.0;8679.244245767593
crval1;KNR 3;PCA-30;0.0;9028.442728757858
crval2;KNR 3;PCA-30;0.00026963904043;10009.85735654831
crota2;KNR 3;PCA-30;0.0;9738.395161390305
cntr;KNR 3;PCA-50;823.331993569;8883.753350019455
ra;KNR 3;PCA-50;0.0;9115.681473016739
dec;KNR 3;PCA-50;0.0;8912.122928142548
crval1;KNR 3;PCA-50;0.0;9035.130092144012
crval2;KNR 3;PCA-50;0.000483850784387;10338.292425870895
crota2;KNR 3;PCA-50;0.0;10554.169159889221
cntr;KNR 3;PCA-70;823.332797428;9640.56980252266
ra;KNR 3;PCA-70;2.30840257375e-16;8459.823800325394
dec;KNR 3;PCA-70;0.0;8751.916290998459
crval1;KNR 3;PCA-70;0.0;8725.43589258194
crval2;KNR 3;PCA-70;0.0;9559.583618402481
crota2;KNR 3;PCA-70;0.0;10350.216050863266
cntr;KNR 3;Percentage-30;814.097893063;2915.4210362434387
ra;KNR 3;Percentage-30;0.0;2667.9259576797485
dec;KNR 3;Percentage-30;0.0;2337.2222032546997
crval1;KNR 3;Percentage-30;0.0;2409.497702360153
crval2;KNR 3;Percentage-30;0.0;2290.387350797653
crota2;KNR 3;Percentage-30;0.0;2422.023492336273
cntr;KNR 3;Percentage-50;833.099526544;2335.334135532379
ra;KNR 3;Percentage-50;0.0;2200.759259223938
dec;KNR 3;Percentage-50;0.0;2373.857131242752
crval1;KNR 3;Percentage-50;0.0;2227.0320298671722
crval2;KNR 3;Percentage-50;0.0;2306.9721360206604
crota2;KNR 3;Percentage-50;0.0;2228.9456038475037
cntr;KNR 3;Percentage-70;816.012983092;2464.245651960373
ra;KNR 3;Percentage-70;0.0;2222.3470466136932
dec;KNR 3;Percentage-70;0.0;2241.161064863205
crval1;KNR 3;Percentage-70;0.0;2237.754831790924
crval2;KNR 3;Percentage-70;0.0;2586.7191219329834
crota2;KNR 3;Percentage-70;0.0;2411.493124961853
cntr;KNR 5;PCA-30;1743.46133333;9472.501345157623
ra;KNR 5;PCA-30;0.0;8873.887305736542
dec;KNR 5;PCA-30;0.0;8134.880017757416
crval1;KNR 5;PCA-30;0.0;8392.177739858627
crval2;KNR 5;PCA-30;4.51986208195e-05;7640.354899644852
crota2;KNR 5;PCA-30;0.0;8278.785004854202
cntr;KNR 5;PCA-50;1740.88940828;9591.002628803253
ra;KNR 5;PCA-50;6.10169476883e-15;8354.067103624344
dec;KNR 5;PCA-50;0.0;8071.775229930878
crval1;KNR 5;PCA-50;5.80645229871e-15;8098.895730257034
crval2;KNR 5;PCA-50;0.000112172113686;8270.898810386658
crota2;KNR 5;PCA-50;2.93577981651e-17;8777.922042608261
cntr;KNR 5;PCA-70;1743.46133333;10015.967813491821
ra;KNR 5;PCA-70;0.0;8507.653326511383
dec;KNR 5;PCA-70;0.000424977328817;8157.484928846359
crval1;KNR 5;PCA-70;0.0;8449.90977859497
crval2;KNR 5;PCA-70;0.00132722430816;8596.8884973526
crota2;KNR 5;PCA-70;0.0;9336.352538108826
cntr;KNR 5;Percentage-30;1751.40998325;2195.2013523578644
ra;KNR 5;Percentage-30;0.0;1781.3305768966675
dec;KNR 5;Percentage-30;0.0;1821.5590393543243
crval1;KNR 5;Percentage-30;0.0;1852.2000596523285
crval2;KNR 5;Percentage-30;0.0;1691.5457377433777
crota2;KNR 5;Percentage-30;0.0;1586.9414901733398
cntr;KNR 5;Percentage-50;1723.50677909;1869.9141201972961
ra;KNR 5;Percentage-50;0.0;1623.0012574195862
dec;KNR 5;Percentage-50;0.0;1647.9370460510254
crval1;KNR 5;Percentage-50;0.0;1645.0345306396484
crval2;KNR 5;Percentage-50;0.0;1629.8787355422974
crota2;KNR 5;Percentage-50;0.0;1679.893589258194
cntr;KNR 5;Percentage-70;1740.6481457;1887.5498232841492
ra;KNR 5;Percentage-70;0.0;1567.7132997512817
dec;KNR 5;Percentage-70;0.0;1480.5790503025055
crval1;KNR 5;Percentage-70;0.0;1601.4364998340607
crval2;KNR 5;Percentage-70;0.0;1672.9859986305237
crota2;KNR 5;Percentage-70;0.0;1538.2762994766235
cntr;KNR 7;PCA-30;1451.54693878;8531.95785355568
ra;KNR 7;PCA-30;0.0;8669.497039079666
dec;KNR 7;PCA-30;0.0;9592.432892560959
crval1;KNR 7;PCA-30;2.4793051931e-15;8648.078422546387
crval2;KNR 7;PCA-30;5.74773541716e-05;8513.5274746418
crota2;KNR 7;PCA-30;0.0;8104.367914438248
cntr;KNR 7;PCA-50;1449.91776356;10222.262282371521
ra;KNR 7;PCA-50;0.0;9105.447900533676
dec;KNR 7;PCA-50;0.000154983125841;8077.809462785721
crval1;KNR 7;PCA-50;0.0;8168.043592214584
crval2;KNR 7;PCA-50;0.000822377534054;9971.035247325897
crota2;KNR 7;PCA-50;0.0;8318.872935533524
cntr;KNR 7;PCA-70;1451.54693878;9438.828104257584
ra;KNR 7;PCA-70;0.0;9309.187175512314
dec;KNR 7;PCA-70;0.0;8767.813038110733
crval1;KNR 7;PCA-70;4.94743328296e-17;7903.928955554962
crval2;KNR 7;PCA-70;0.0;8354.843123197556
crota2;KNR 7;PCA-70;0.0;9255.483941555023
cntr;KNR 7;Percentage-30;1439.1257891;1908.7157998085022
ra;KNR 7;Percentage-30;0.0;1686.7112534046173
dec;KNR 7;Percentage-30;0.0;1702.0919885635376
crval1;KNR 7;Percentage-30;0.0;1637.938982963562
crval2;KNR 7;Percentage-30;0.0;1561.167573928833
crota2;KNR 7;Percentage-30;0.0;1630.2791240215302
cntr;KNR 7;Percentage-50;1439.1115943;1997.7892560958862
ra;KNR 7;Percentage-50;0.0;1657.9730281829834
dec;KNR 7;Percentage-50;0.0;1659.4894850254059
crval1;KNR 7;Percentage-50;0.0;1652.8138375282288
crval2;KNR 7;Percentage-50;0.0;1552.84183883667
crota2;KNR 7;Percentage-50;0.0;1626.368004322052
cntr;KNR 7;Percentage-70;1426.34302581;1983.2581794261932
ra;KNR 7;Percentage-70;0.0;1647.0633301734924
dec;KNR 7;Percentage-70;0.0;1629.79616355896
crval1;KNR 7;Percentage-70;0.0;1745.6518573760986
crval2;KNR 7;Percentage-70;0.0;1762.836124420166
crota2;KNR 7;Percentage-70;0.0;1807.1086692810059
cntr;SVR;PCA-30;769.208426809;10988.702176570892
ra;SVR;PCA-30;0.0;9146.344531059265
dec;SVR;PCA-30;0.0;8817.477412939072
crval1;SVR;PCA-30;3.7037043166e-17;8937.974529743195
crval2;SVR;PCA-30;0.0;9332.168746709824
crota2;SVR;PCA-30;0.0;8369.24859714508
cntr;SVR;PCA-50;769.826297741;8889.765627384186
ra;SVR;PCA-50;0.0;9840.402878761292
dec;SVR;PCA-50;0.0;9066.510991811752
crval1;SVR;PCA-50;3.66972433491e-17;7349.496215581894
crval2;SVR;PCA-50;1.94209138993e-05;10152.222810268402
crota2;SVR;PCA-50;0.0;10569.983559846878
cntr;SVR;PCA-70;769.82607717;8791.035349845886
ra;SVR;PCA-70;0.0;9270.124009132385
dec;SVR;PCA-70;1.42825378194e-05;10011.575202703476
crval1;SVR;PCA-70;0.0;8398.255794525146
crval2;SVR;PCA-70;0.0;5264.329890966415
crota2;SVR;PCA-70;0.0;9531.817168712616
cntr;SVR;Percentage-30;767.935768194;2540.7377598285675
ra;SVR;Percentage-30;0.0;2217.8003096580505
dec;SVR;Percentage-30;0.0;2196.2248713970184
crval1;SVR;Percentage-30;0.0;2081.57595539093
crval2;SVR;Percentage-30;0.0;2127.51846408844
crota2;SVR;Percentage-30;0.0;2090.8141899108887
cntr;SVR;Percentage-50;752.554658273;2632.7319366931915
ra;SVR;Percentage-50;0.0;2625.4876532554626
dec;SVR;Percentage-50;0.0;2173.1504752635956
crval1;SVR;Percentage-50;0.0;2256.213403940201
crval2;SVR;Percentage-50;0.0;2020.1201391220093
crota2;SVR;Percentage-50;0.0;2271.3770549297333
cntr;SVR;Percentage-70;773.677536364;2322.27143740654
ra;SVR;Percentage-70;0.0;2145.5685131549835
dec;SVR;Percentage-70;0.0;2175.051151752472
crval1;SVR;Percentage-70;0.0;2046.6219520568848
crval2;SVR;Percentage-70;0.0;2192.37388920784
crota2;SVR;Percentage-70;0.0;2291.3653931617737
cntr;Multi Layer Perceptron;PCA-30;1392.30205104;14800.645435333252
ra;Multi Layer Perceptron;PCA-30;60.3372674342;9134.704321146011
dec;Multi Layer Perceptron;PCA-30;0.0;10827.091246843338
crval1;Multi Layer Perceptron;PCA-30;0.0;9397.929142713547
crval2;Multi Layer Perceptron;PCA-30;16.5115640914;7149.08828663826
crota2;Multi Layer Perceptron;PCA-30;0.0;2558.8287918567657
cntr;Multi Layer Perceptron;PCA-50;1392.30205104;3665.0201618671417
ra;Multi Layer Perceptron;PCA-50;0.0;2306.8942699432373
dec;Multi Layer Perceptron;PCA-50;0.0161036153806;2263.390174150467
crval1;Multi Layer Perceptron;PCA-50;106.234285404;9746.407698392868
crval2;Multi Layer Perceptron;PCA-50;0.0;8643.003989934921
crota2;Multi Layer Perceptron;PCA-50;0.0;7225.036713838577
cntr;Multi Layer Perceptron;PCA-70;1392.30205104;4810.590380430222
ra;Multi Layer Perceptron;PCA-70;0.0;2166.962195634842
dec;Multi Layer Perceptron;PCA-70;0.0;2173.4303357601166
crval1;Multi Layer Perceptron;PCA-70;325.404951041;2288.837289094925
crval2;Multi Layer Perceptron;PCA-70;0.0;10691.767138719559
crota2;Multi Layer Perceptron;PCA-70;0.0;9067.518834590912
cntr;Multi Layer Perceptron;Percentage-30;3257.19577611;2635.849253177643
ra;Multi Layer Perceptron;Percentage-30;0.0;2079.153425693512
dec;Multi Layer Perceptron;Percentage-30;0.0;1666.8572371006012
crval1;Multi Layer Perceptron;Percentage-30;0.0;1164.1119101047516
crval2;Multi Layer Perceptron;Percentage-30;0.0;979.8017475605011
crota2;Multi Layer Perceptron;Percentage-30;0.0;2169.232565879822
cntr;Multi Layer Perceptron;Percentage-50;3438.22920341;2752.714949131012
ra;Multi Layer Perceptron;Percentage-50;0.0;2474.110425233841
dec;Multi Layer Perceptron;Percentage-50;0.0;2129.104909181595
crval1;Multi Layer Perceptron;Percentage-50;0.0;2121.15420126915
crval2;Multi Layer Perceptron;Percentage-50;0.0;1855.3775191307068
crota2;Multi Layer Perceptron;Percentage-50;0.0;1397.0696249008179
