FEATURE;MODEL;PRECISION;RECALL;TIME
cntr;KNNFeatureRecommender;0.441843430668;0.619899785254;3105.048448562622
cntr;RankFeatureRecommender;0.438518108567;0.579813886901;6059.893948316574
ra;KNNFeatureRecommender;0.876497863159;0.810223642173;2982.2302384376526
ra;RankFeatureRecommender;0.863741822608;0.794888178914;1265.6340403556824
dec;KNNFeatureRecommender;0.829430314095;0.81214057508;2886.5217893123627
dec;RankFeatureRecommender;0.85;0.808306709265;1321.6782448291779
cra;KNNFeatureRecommender;0.870927188767;0.806389776358;3654.3792617321014
cra;RankFeatureRecommender;0.842911561282;0.806389776358;2111.71861076355
cdec;KNNFeatureRecommender;0.877130494951;0.810223642173;3799.3993349075317
cdec;RankFeatureRecommender;0.838703788225;0.808306709265;2111.4743592739105
crval1;KNNFeatureRecommender;0.876497863159;0.810223642173;2865.3067860603333
crval1;RankFeatureRecommender;0.863741822608;0.794888178914;1346.5307846069336
crval2;KNNFeatureRecommender;0.829430314095;0.81214057508;3020.1210458278656
crval2;RankFeatureRecommender;0.85;0.808306709265;1315.4055771827698
crota2;KNNFeatureRecommender;0.868680760134;0.815974440895;2939.2830986976624
crota2;RankFeatureRecommender;0.850217833285;0.806389776358;1322.4037930965424
cntr;KNNFeatureRecommender;0.180794102094;0.313534566699;2262.0005192756653
cntr;RankFeatureRecommender;0.201910442055;0.333982473223;5808.418612718582
ra;KNNFeatureRecommender;0.466562404582;0.525878594249;1623.166344165802
ra;RankFeatureRecommender;0.48920964552;0.504792332268;1261.5705361366272
dec;KNNFeatureRecommender;0.448031308415;0.502236421725;1617.2262654304504
dec;RankFeatureRecommender;0.254926379636;0.449840255591;1236.1834955215454
cra;KNNFeatureRecommender;0.463610075888;0.527795527157;1821.1792948246002
cra;RankFeatureRecommender;0.250726799733;0.459424920128;1484.8890035152435
cdec;KNNFeatureRecommender;0.467350753613;0.530990415335;1853.9652516841888
cdec;RankFeatureRecommender;0.250197086802;0.461341853035;1513.4105324745178
crval1;KNNFeatureRecommender;0.470642031025;0.532268370607;1621.1888482570648
crval1;RankFeatureRecommender;0.490457173285;0.507348242812;1234.7086877822876
crval2;KNNFeatureRecommender;0.448031308415;0.502236421725;1620.9437687397003
crval2;RankFeatureRecommender;0.254926379636;0.449840255591;1247.0737435817719
crota2;KNNFeatureRecommender;0.454486892666;0.511182108626;1615.71217918396
crota2;RankFeatureRecommender;0.28255924729;0.458146964856;1236.24596118927
cntr;KNNFeatureRecommender;0.147044692895;0.27808676307;2227.375627040863
cntr;RankFeatureRecommender;0.150471662755;0.29254727475;2777.07058262825
ra;KNNFeatureRecommender;0.474110661634;0.547096774194;1620.22203207016
ra;RankFeatureRecommender;0.452219662058;0.470967741935;1210.9139213562012
dec;KNNFeatureRecommender;0.437524344725;0.495483870968;1592.3673250675201
dec;RankFeatureRecommender;0.237440670132;0.43935483871;1227.4832553863525
cra;KNNFeatureRecommender;0.467546795393;0.54;1868.4164562225342
cra;RankFeatureRecommender;0.303738592211;0.436129032258;1520.1636636257172
cdec;KNNFeatureRecommender;0.473080704215;0.547096774194;1959.6041367053986
cdec;RankFeatureRecommender;0.309017914338;0.43935483871;1394.418374300003
crval1;KNNFeatureRecommender;0.474583307268;0.548387096774;1605.9408671855927
crval1;RankFeatureRecommender;0.453832565284;0.471612903226;974.4178936481476
crval2;KNNFeatureRecommender;0.437524344725;0.495483870968;996.1663279533386
crval2;RankFeatureRecommender;0.237440670132;0.43935483871;962.638041973114
crota2;KNNFeatureRecommender;0.447871739266;0.514838709677;1001.2634670734406
crota2;RankFeatureRecommender;0.252570441996;0.436774193548;731.7255012989044
