FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;Full;0.0;133.33343982696533
num_aligns;Linear Regression;PCA;0.0;124.59530258178711
num_aligns;Linear Regression;Percentage;0.0;142.16106843948364
num_aligns;KNR 3;Full;0.0;134.2310826778412
num_aligns;KNR 3;PCA;0.0;122.73075914382935
num_aligns;KNR 3;Percentage;0.0;130.22605085372925
num_aligns;KNR 5;Full;0.0;133.09456276893616
num_aligns;KNR 5;PCA;0.0;118.45419430732727
num_aligns;KNR 5;Percentage;0.0;129.4023745059967
num_aligns;KNR 7;Full;0.0;133.11757373809814
num_aligns;KNR 7;PCA;0.0;118.60542726516724
num_aligns;KNR 7;Percentage;0.0;129.36732363700867
num_aligns;SVR;Full;0.0;133.24107670783997
num_aligns;SVR;PCA;0.0;119.53623080253601
num_aligns;SVR;Percentage;0.0;129.4052813053131
num_aligns;Multi Layer Perceptron;Full;0.0;133.51760125160217
num_aligns;Multi Layer Perceptron;PCA;0.0;120.81141233444214
num_aligns;Multi Layer Perceptron;Percentage;0.0;129.28305554389954
length;Linear Regression;Full;0.0;132.75587797164917
length;Linear Regression;PCA;0.0;119.28115153312683
length;Linear Regression;Percentage;0.0;132.9133915901184
length;KNR 3;Full;0.0;133.81499671936035
length;KNR 3;PCA;0.0;122.53591561317444
length;KNR 3;Percentage;0.0;128.89147281646729
length;KNR 5;Full;0.0;132.80043530464172
length;KNR 5;PCA;0.0;118.12897372245789
length;KNR 5;Percentage;0.0;128.96484184265137
length;KNR 7;Full;0.0;132.9120364189148
length;KNR 7;PCA;0.0;118.70589709281921
length;KNR 7;Percentage;0.0;128.99524903297424
length;SVR;Full;0.0;132.91496896743774
length;SVR;PCA;0.0;118.2710349559784
length;SVR;Percentage;0.0;129.0750229358673
length;Multi Layer Perceptron;Full;0.0;132.84271836280823
length;Multi Layer Perceptron;PCA;0.0;118.10498285293579
length;Multi Layer Perceptron;Percentage;0.0;131.1906819343567
prob1;Linear Regression;Full;0.0;134.11854648590088
prob1;Linear Regression;PCA;0.0;120.38099360466003
prob1;Linear Regression;Percentage;0.0;130.7449345588684
prob1;KNR 3;Full;0.0;132.9855716228485
prob1;KNR 3;PCA;0.0;118.41023468971252
prob1;KNR 3;Percentage;0.0;129.27677869796753
prob1;KNR 5;Full;0.0;132.9479706287384
prob1;KNR 5;PCA;0.0;118.2132978439331
prob1;KNR 5;Percentage;0.0;130.01164770126343
prob1;KNR 7;Full;0.0;132.86471366882324
prob1;KNR 7;PCA;0.0;118.59275150299072
prob1;KNR 7;Percentage;0.0;129.08228254318237
prob1;SVR;Full;0.0;132.97830963134766
prob1;SVR;PCA;0.0;117.47517585754395
prob1;SVR;Percentage;0.0;129.3558747768402
prob1;Multi Layer Perceptron;Full;0.0;132.91029500961304
prob1;Multi Layer Perceptron;PCA;0.0;118.51991438865662
prob1;Multi Layer Perceptron;Percentage;0.0;129.1945767402649
prob2;Linear Regression;Full;0.0;133.06447744369507
prob2;Linear Regression;PCA;0.0;118.18381810188293
prob2;Linear Regression;Percentage;0.0;128.9429087638855
prob2;KNR 3;Full;0.0;132.83622026443481
prob2;KNR 3;PCA;0.0;120.23957562446594
prob2;KNR 3;Percentage;0.0;128.72398924827576
prob2;KNR 5;Full;0.0;132.64841508865356
prob2;KNR 5;PCA;0.0;124.08177590370178
prob2;KNR 5;Percentage;0.0;130.85308575630188
prob2;KNR 7;Full;0.0;133.92122864723206
prob2;KNR 7;PCA;0.0;121.38351631164551
prob2;KNR 7;Percentage;0.0;129.0125207901001
prob2;SVR;Full;0.0;132.79292273521423
prob2;SVR;PCA;0.0;118.36385369300842
prob2;SVR;Percentage;0.0;128.7766613960266
prob2;Multi Layer Perceptron;Full;0.0;132.73214101791382
prob2;Multi Layer Perceptron;PCA;0.0;118.25861763954163
prob2;Multi Layer Perceptron;Percentage;0.0;128.88272070884705
