FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA;1.0;58.1550407409668
model1;KNN 3;Percentage;0.9781420765027322;43.52119588851929
model1;KNN 5;PCA;1.0;52.05095839500427
model1;KNN 5;Percentage;0.9764705882352941;42.04733681678772
model1;KNN 7;PCA;1.0;53.674508810043335
model1;KNN 7;Percentage;0.9764705882352941;41.74319767951965
model1;SVM;PCA;1.0;53.74077820777893
model1;SVM;Percentage;0.9781420765027322;43.736124992370605
model1;Multi Layer Perceptron;PCA;1.0;54.40013551712036
model1;Multi Layer Perceptron;Percentage;0.9781420765027322;45.618895292282104
model2;KNN 3;PCA;1.0;67.97599530220032
model2;KNN 3;Percentage;0.9781420765027322;43.7414608001709
model2;KNN 5;PCA;1.0;62.975205183029175
model2;KNN 5;Percentage;0.9764705882352941;41.62444090843201
model2;KNN 7;PCA;1.0;63.496357440948486
model2;KNN 7;Percentage;0.9764705882352941;41.879210472106934
model2;SVM;PCA;1.0;63.68950152397156
model2;SVM;Percentage;0.9781420765027322;42.96297264099121
model2;Multi Layer Perceptron;PCA;1.0;64.20284628868103
model2;Multi Layer Perceptron;Percentage;0.9781420765027322;43.67189049720764
