FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA-30;0.884615384615;148.58309316635132
model2;KNN 3;PCA-30;0.888888888889;141.73186016082764
model1;KNN 3;PCA-50;0.851851851852;165.9356231689453
model2;KNN 3;PCA-50;0.823529411765;145.6932282447815
model1;KNN 3;PCA-70;0.916666666667;155.04994773864746
model2;KNN 3;PCA-70;0.882352941176;154.8709180355072
model1;KNN 3;Percentage-30;0.98;56.56419277191162
model2;KNN 3;Percentage-30;0.988888888889;50.897188901901245
model1;KNN 3;Percentage-50;0.979797979798;53.6985297203064
model2;KNN 3;Percentage-50;0.979166666667;54.66094732284546
model1;KNN 3;Percentage-70;0.968421052632;54.499422550201416
model2;KNN 3;Percentage-70;0.97619047619;51.58055639266968
model1;KNN 5;PCA-30;0.722222222222;134.3497543334961
model2;KNN 5;PCA-30;0.894736842105;146.43434238433838
model1;KNN 5;PCA-50;0.684210526316;198.43038296699524
model2;KNN 5;PCA-50;0.928571428571;129.73323488235474
model1;KNN 5;PCA-70;0.85;240.0719177722931
model2;KNN 5;PCA-70;0.7;210.0944094657898
model1;KNN 5;Percentage-30;0.978021978022;67.71455883979797
model2;KNN 5;Percentage-30;0.986842105263;71.1808021068573
model1;KNN 5;Percentage-50;0.977011494253;60.4707772731781
model2;KNN 5;Percentage-50;0.974683544304;73.65946197509766
model1;KNN 5;Percentage-70;0.977528089888;69.66979646682739
model2;KNN 5;Percentage-70;0.988372093023;53.75502681732178
model1;KNN 7;PCA-30;0.857142857143;120.33065629005432
model2;KNN 7;PCA-30;0.875;132.38840770721436
model1;KNN 7;PCA-50;1.0;151.83997178077698
model2;KNN 7;PCA-50;0.909090909091;200.71306037902832
model1;KNN 7;PCA-70;0.904761904762;175.83705949783325
model2;KNN 7;PCA-70;0.833333333333;217.5925896167755
model1;KNN 7;Percentage-30;0.969072164948;59.451876640319824
model2;KNN 7;Percentage-30;1.0;57.1386775970459
model1;KNN 7;Percentage-50;0.988888888889;57.414820194244385
model2;KNN 7;Percentage-50;0.989473684211;49.386091470718384
model1;KNN 7;Percentage-70;0.988636363636;54.979182958602905
model2;KNN 7;Percentage-70;0.973333333333;54.0781946182251
model1;SVM;PCA-30;0.666666666667;182.51682233810425
model2;SVM;PCA-30;0.833333333333;131.47962522506714
model1;SVM;PCA-50;0.818181818182;129.10391092300415
model2;SVM;PCA-50;0.909090909091;130.9460484981537
model1;SVM;PCA-70;0.6;169.78372240066528
model2;SVM;PCA-70;0.782608695652;162.68038749694824
model1;SVM;Percentage-30;0.966666666667;73.33665323257446
model2;SVM;Percentage-30;0.978723404255;57.11372756958008
model1;SVM;Percentage-50;0.988888888889;57.62540912628174
model2;SVM;Percentage-50;0.975609756098;63.13403868675232
model1;SVM;Percentage-70;0.966292134831;61.5050253868103
model2;SVM;Percentage-70;0.981308411215;66.56739211082458
model1;Multi Layer Perceptron;PCA-30;0.857142857143;170.9974160194397
model2;Multi Layer Perceptron;PCA-30;0.954545454545;55.68137049674988
model1;Multi Layer Perceptron;PCA-50;0.708333333333;157.53352284431458
model2;Multi Layer Perceptron;PCA-50;0.809523809524;77.50070333480835
model1;Multi Layer Perceptron;PCA-70;0.916666666667;152.77142524719238
model2;Multi Layer Perceptron;PCA-70;0.8;78.89258909225464
model1;Multi Layer Perceptron;Percentage-30;0.908045977011;45.25273036956787
model2;Multi Layer Perceptron;Percentage-30;0.907216494845;41.438939332962036
model1;Multi Layer Perceptron;Percentage-50;0.917525773196;47.782419204711914
model2;Multi Layer Perceptron;Percentage-50;0.933333333333;38.29540753364563
model1;Multi Layer Perceptron;Percentage-70;0.914893617021;49.64140510559082
model2;Multi Layer Perceptron;Percentage-70;0.9375;39.806273460388184
