FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA;1.0;309.34872817993164
model1;KNN 3;Percentage;0.9781420765027322;199.3356909751892
model1;KNN 5;PCA;1.0;211.2779257297516
model1;KNN 5;Percentage;0.9764705882352941;191.79221725463867
model1;KNN 7;PCA;1.0;543.017245054245
model1;KNN 7;Percentage;0.9764705882352941;270.4164342880249
model1;SVM;PCA;1.0;215.50252294540405
model1;SVM;Percentage;0.9781420765027322;199.28685212135315
model1;Multi Layer Perceptron;PCA;1.0;215.57840156555176
model1;Multi Layer Perceptron;Percentage;0.9781420765027322;201.74712753295898
model2;KNN 3;PCA;1.0;245.8266212940216
model2;KNN 3;Percentage;0.9781420765027322;200.10213160514832
model2;KNN 5;PCA;1.0;242.08270716667175
model2;KNN 5;Percentage;0.9764705882352941;195.35749173164368
model2;KNN 7;PCA;1.0;243.84625101089478
model2;KNN 7;Percentage;0.9764705882352941;195.5326280593872
model2;SVM;PCA;1.0;249.8147530555725
model2;SVM;Percentage;0.9781420765027322;202.51192140579224
model2;Multi Layer Perceptron;PCA;1.0;251.4894208908081
model2;Multi Layer Perceptron;Percentage;0.9781420765027322;205.5376284122467
