FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;PRECISION;RECALL;TIME
model1;KNN 3;PCA-30;0.777777777778;[ 0.          1.          1.          0.85714286  0.          0.          0.        ];[ 0.          0.75        0.71428571  1.          0.          0.          0.        ];117.45201396942139
model2;KNN 3;PCA-30;0.727272727273;"[ 1.          0.          0.          0.5         0.86666667  0.          0.
  1.        ]";"[ 1.          0.          0.          1.          0.92857143  0.          0.
  0.5       ]";159.19519186019897
model1;KNN 3;PCA-50;0.722222222222;[ 0.     0.     1.     1.     0.875  0.     1.     0.   ];[ 0.   0.   0.5  1.   1.   0.   1.   0. ];169.56056785583496
model2;KNN 3;PCA-50;0.96;[ 1.  0.  1.  1.  1.  1.  1.  1.];"[ 1.          0.          1.          1.          1.          1.          1.
  0.66666667]";148.68597435951233
model1;KNN 3;PCA-70;0.9;[ 1.          1.          0.          0.90909091  0.          0.66666667];[ 1.  1.  0.  1.  0.  1.];185.66285490989685
model2;KNN 3;PCA-70;1.0;[ 1.  1.  1.  1.  1.  1.];[ 1.  1.  1.  1.  1.  1.];185.11759066581726
model1;KNN 3;ANOVA-30;0.962025316456;[ 0.          0.          1.          0.91666667  1.          0.          1.        ];[ 0.          0.          1.          0.95652174  1.          0.          1.        ];52.460288763046265
model2;KNN 3;ANOVA-30;0.978947368421;[ 0.          1.          0.88888889  1.          1.          1.          1.        ];"[ 0.          1.          1.          1.          0.98        0.85714286
  1.        ]";62.057976722717285
model1;KNN 3;ANOVA-50;0.981132075472;[ 0.          1.          0.96296296  1.          0.          1.        ];[ 0.          1.          1.          1.          0.          0.88888889];61.79434084892273
model2;KNN 3;ANOVA-50;0.990825688073;[ 0.  1.  1.  1.  1.  1.  1.];"[ 0.          1.          1.          1.          1.          0.90909091
  1.        ]";64.25380659103394
model1;KNN 3;ANOVA-70;0.979591836735;[ 0.  0.  1.  1.  1.  1.];[ 0.          0.          1.          0.96153846  1.          0.9       ];60.64071536064148
model2;KNN 3;ANOVA-70;0.967741935484;"[ 0.          0.          1.          0.88888889  1.          1.          1.
  1.        ]";"[ 0.          0.          1.          1.          0.875       0.98039216
  0.91666667  1.        ]";57.55605220794678
model1;KNN 5;PCA-30;1.0;[ 1.  1.  1.  1.];[ 1.  1.  1.  1.];132.29972672462463
