FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA;1.0;42.57397246360779
model1;KNN 3;Percentage;0.9781420765027322;33.7624306678772
model1;KNN 5;PCA;1.0;40.352585792541504
model1;KNN 5;Percentage;0.9764705882352941;31.812395095825195
model1;KNN 7;PCA;1.0;37.12543439865112
model1;KNN 7;Percentage;0.9764705882352941;30.76274561882019
model1;SVM;PCA;1.0;36.04980206489563
model1;SVM;Percentage;0.9781420765027322;31.556697130203247
model1;Multi Layer Perceptron;PCA;1.0;36.05530548095703
model1;Multi Layer Perceptron;Percentage;0.9781420765027322;32.6012442111969
model2;KNN 3;PCA;1.0;41.45185661315918
model2;KNN 3;Percentage;0.9781420765027322;31.706555366516113
model2;KNN 5;PCA;1.0;40.67572474479675
model2;KNN 5;Percentage;0.9764705882352941;30.95259976387024
model2;KNN 7;PCA;1.0;40.79401469230652
model2;KNN 7;Percentage;0.9764705882352941;31.0237455368042
model2;SVM;PCA;1.0;41.2021963596344
model2;SVM;Percentage;0.9781420765027322;31.67807698249817
model2;Multi Layer Perceptron;PCA;1.0;41.20268440246582
model2;Multi Layer Perceptron;Percentage;0.9781420765027322;32.212823152542114
