FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;PCA;0.0;399.74671506881714
num_aligns;Linear Regression;Percentage;0.0;207.82246923446655
num_aligns;KNR 3;PCA;0.0;403.46957755088806
num_aligns;KNR 3;Percentage;0.0;210.0723536014557
num_aligns;KNR 5;PCA;0.0;398.20308327674866
num_aligns;KNR 5;Percentage;0.0;204.78062224388123
num_aligns;KNR 7;PCA;0.0;400.9880311489105
num_aligns;KNR 7;Percentage;0.0;205.4436399936676
num_aligns;SVR;PCA;0.0;409.23369121551514
num_aligns;SVR;Percentage;0.0;213.32870483398438
num_aligns;Multi Layer Perceptron;PCA;0.0;413.2617585659027
num_aligns;Multi Layer Perceptron;Percentage;0.0;213.52894520759583
length;Linear Regression;PCA;0.0;414.5539872646332
length;Linear Regression;Percentage;0.0;226.06885170936584
length;KNR 3;PCA;0.0;415.6615164279938
length;KNR 3;Percentage;0.0;226.91029930114746
length;KNR 5;PCA;0.0;408.97561955451965
length;KNR 5;Percentage;0.0;220.83803296089172
length;KNR 7;PCA;0.0;412.52049255371094
length;KNR 7;Percentage;0.0;219.86960554122925
length;SVR;PCA;0.0;439.5764060020447
length;SVR;Percentage;0.0;230.49394488334656
length;Multi Layer Perceptron;PCA;0.0;425.79521894454956
length;Multi Layer Perceptron;Percentage;0.0;230.9891335964203
prob1;Linear Regression;PCA;0.0;427.2375485897064
prob1;Linear Regression;Percentage;2272.5619326512683;295.8330111503601
prob1;KNR 3;PCA;0.0;463.42553448677063
prob1;KNR 3;Percentage;2272.5619326512683;235.41619324684143
prob1;KNR 5;PCA;0.0;423.92247676849365
prob1;KNR 5;Percentage;2272.5619326512683;230.22306394577026
prob1;KNR 7;PCA;0.0;428.21930503845215
prob1;KNR 7;Percentage;2272.5619326512683;230.1780490875244
prob1;SVR;PCA;0.0;434.94131660461426
prob1;SVR;Percentage;2272.5619326512683;238.50802516937256
prob1;Multi Layer Perceptron;PCA;0.0;440.39457178115845
prob1;Multi Layer Perceptron;Percentage;2272.5619326512683;239.90453934669495
prob2;Linear Regression;PCA;0.0;444.001695394516
prob2;Linear Regression;Percentage;2272.5619326512683;241.1459255218506
prob2;KNR 3;PCA;0.0;444.1367735862732
prob2;KNR 3;Percentage;2272.5619326512683;242.29457354545593
prob2;KNR 5;PCA;0.0;438.782429933548
prob2;KNR 5;Percentage;2272.5619326512683;235.57461380958557
prob2;KNR 7;PCA;0.0;440.33317136764526
prob2;KNR 7;Percentage;2272.5619326512683;235.73351907730103
prob2;SVR;PCA;0.0;447.8550548553467
prob2;SVR;Percentage;2272.5619326512683;245.4833083152771
prob2;Multi Layer Perceptron;PCA;0.0;452.8991847038269
prob2;Multi Layer Perceptron;Percentage;2272.5619326512683;247.04651951789856
