FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;PCA;0.0714285714286;165.35279726982117
length;Linear Regression;PCA;12298.0272516;166.93468952178955
prob1;Linear Regression;PCA;4.33474088653e-15;157.9677746295929
num_aligns;Linear Regression;PCA;0.03125;207.26286911964417
length;Linear Regression;PCA;8730.6011586;198.2654082775116
prob1;Linear Regression;PCA;3.93337598963e-15;178.85824489593506
num_aligns;Linear Regression;PCA;0.0666666666667;194.2418828010559
length;Linear Regression;PCA;9427.84825789;198.55019092559814
prob1;Linear Regression;PCA;3.76599828794e-15;190.11235165596008
prob1;Linear Regression;Percentage;31511.2574661;91.09266233444214
prob2;Linear Regression;Percentage;13245.2155499;95.11466789245605
prob1;Linear Regression;Percentage;11203.2178656;80.07697486877441
prob2;Linear Regression;Percentage;2422.64177605;84.4459137916565
prob1;Linear Regression;Percentage;3052.53626678;86.5203788280487
prob2;Linear Regression;Percentage;15412.1496391;83.56503248214722
num_aligns;KNR 3;PCA;0.0285714285714;158.69747853279114
length;KNR 3;PCA;18990.2834138;184.88452219963074
prob1;KNR 3;PCA;3.29305896806e-15;166.54417324066162
num_aligns;KNR 3;PCA;0.0547945205479;176.92116355895996
length;KNR 3;PCA;13728.8714286;202.4085350036621
prob1;KNR 3;PCA;3.54003839066e-15;190.00216603279114
num_aligns;KNR 3;PCA;0.0491803278689;181.14077758789062
length;KNR 3;PCA;5531.25603865;210.01662611961365
prob1;KNR 3;PCA;1.60910835939e-15;188.03086638450623
prob1;KNR 3;Percentage;18275.6518839;85.32598352432251
prob2;KNR 3;Percentage;7963.63959388;81.3589129447937
prob1;KNR 3;Percentage;35209.8381909;86.1604266166687
prob2;KNR 3;Percentage;9462.91222576;84.00569295883179
prob1;KNR 3;Percentage;51709.6481625;79.26041674613953
prob2;KNR 3;Percentage;9858.10457729;90.12732291221619
num_aligns;KNR 5;PCA;0.0425806451613;177.6064784526825
length;KNR 5;PCA;6317.61306122;161.14377856254578
prob1;KNR 5;PCA;4.93958845209e-15;161.77413368225098
num_aligns;KNR 5;PCA;0.0330434782609;187.0750777721405
length;KNR 5;PCA;5282.59588235;174.9372217655182
prob1;KNR 5;PCA;5.310057586e-15;188.100111246109
num_aligns;KNR 5;PCA;0.0338983050847;197.35289216041565
length;KNR 5;PCA;10570.1684848;165.28867554664612
prob1;KNR 5;PCA;2.21252399416e-15;150.91772055625916
prob1;KNR 5;Percentage;1056.67591592;73.72100496292114
prob2;KNR 5;Percentage;6362.9597976;83.95019197463989
prob1;KNR 5;Percentage;21039.5915703;86.80068802833557
prob2;KNR 5;Percentage;7903.43120666;81.48838996887207
prob1;KNR 5;Percentage;6263.10878032;85.64612174034119
prob2;KNR 5;Percentage;23434.4637449;81.66978716850281
num_aligns;KNR 7;PCA;0.0;172.16889476776123
length;KNR 7;PCA;3636.89277067;166.08704805374146
prob1;KNR 7;PCA;2.5285988505e-15;178.8978135585785
num_aligns;KNR 7;PCA;0.0;180.4044804573059
length;KNR 7;PCA;3955.03087389;194.87974643707275
prob1;KNR 7;PCA;1136.28096633;183.45800757408142
num_aligns;KNR 7;PCA;0.0133580705009;177.02453017234802
length;KNR 7;PCA;2563.54409621;173.2760705947876
prob1;KNR 7;PCA;5.44621290874e-15;193.6251676082611
prob1;KNR 7;Percentage;2352.52523025;82.12956142425537
prob2;KNR 7;Percentage;25343.2047775;81.59266877174377
prob1;KNR 7;Percentage;14390.9783911;83.98128390312195
prob2;KNR 7;Percentage;1547.71709769;85.77028036117554
prob1;KNR 7;Percentage;23292.6471678;91.57826447486877
prob2;KNR 7;Percentage;20953.4249095;83.1022801399231
num_aligns;SVR;PCA;0.0498444505411;160.52063250541687
length;SVR;PCA;3884.26591583;176.94855070114136
prob1;SVR;PCA;1069.49159082;159.59519815444946
num_aligns;SVR;PCA;0.0911571527118;205.9833424091339
length;SVR;PCA;6892.6312223;175.05671977996826
prob1;SVR;PCA;0.0797243725895;189.969633102417
num_aligns;SVR;PCA;0.0739754905531;128.1109983921051
length;SVR;PCA;14890.1219134;183.54898071289062
prob1;SVR;PCA;0.0704931294475;180.0161669254303
prob1;SVR;Percentage;29135.8737701;97.6161596775055
prob2;SVR;Percentage;19166.3388819;96.058278799057
prob1;SVR;Percentage;16256.5585142;97.43574571609497
prob2;SVR;Percentage;0.00638888888888;87.07057976722717
prob1;SVR;Percentage;26334.3493692;99.70729899406433
prob2;SVR;Percentage;20400.5423851;85.00465750694275
num_aligns;Multi Layer Perceptron;PCA;46.4897723117;157.26128840446472
length;Multi Layer Perceptron;PCA;100221.023166;180.67583632469177
prob1;Multi Layer Perceptron;PCA;7.0803394476e+13;130.50100183486938
num_aligns;Multi Layer Perceptron;PCA;29.9122840267;82.38533234596252
length;Multi Layer Perceptron;PCA;95643.7972878;213.6558039188385
prob1;Multi Layer Perceptron;PCA;7.23933205019e+13;155.05583429336548
num_aligns;Multi Layer Perceptron;PCA;25.6788567027;48.67466402053833
length;Multi Layer Perceptron;PCA;83037.623953;40.66911482810974
prob1;Multi Layer Perceptron;PCA;1.12957048393e+14;187.79059767723083
prob1;Multi Layer Perceptron;Percentage;2712351749.61;26.347045183181763
prob2;Multi Layer Perceptron;Percentage;2111326140.61;79.69022417068481
prob1;Multi Layer Perceptron;Percentage;2549468267.07;66.92540144920349
prob2;Multi Layer Perceptron;Percentage;1626094221.69;42.882710456848145
prob1;Multi Layer Perceptron;Percentage;2257061745.19;65.92610788345337
prob2;Multi Layer Perceptron;Percentage;1960746274.25;59.599637031555176
