FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;PCA-30;0.136363636364;374.8720564842224
length;Linear Regression;PCA-30;36413.2548462;394.2374141216278
prob1;Linear Regression;PCA-30;262550.540493;386.52864050865173
prob2;Linear Regression;PCA-30;857537.634531;415.96702885627747
num_aligns;Linear Regression;PCA-50;0.0;450.02293157577515
length;Linear Regression;PCA-50;29056.3646223;461.38108563423157
prob1;Linear Regression;PCA-50;486246.944243;438.36443567276
prob2;Linear Regression;PCA-50;612656.237262;419.77977204322815
num_aligns;Linear Regression;PCA-70;0.0;437.86969017982483
length;Linear Regression;PCA-70;12054.5024954;445.36610198020935
prob1;Linear Regression;PCA-70;487843.64797;464.5643756389618
prob2;Linear Regression;PCA-70;556442.309096;447.887704372406
prob1;Linear Regression;ANOVA-30;13220.7391975;196.19066739082336
prob2;Linear Regression;ANOVA-30;13497.0765992;211.35856771469116
prob1;Linear Regression;ANOVA-50;9570.83373079;189.92078280448914
prob2;Linear Regression;ANOVA-50;19515.623369;181.1323356628418
prob1;Linear Regression;ANOVA-70;4813.49444019;196.20673966407776
prob2;Linear Regression;ANOVA-70;3081.9151964;192.40475511550903
num_aligns;KNR 3;PCA-30;0.0;361.34938859939575
length;KNR 3;PCA-30;3332.14814815;413.4414367675781
prob1;KNR 3;PCA-30;577043.463404;401.74036931991577
prob2;KNR 3;PCA-30;663786.495734;374.07094287872314
num_aligns;KNR 3;PCA-50;0.0;428.37750816345215
length;KNR 3;PCA-50;5838.39236111;436.7238886356354
prob1;KNR 3;PCA-50;280778.090703;472.6957106590271
prob2;KNR 3;PCA-50;507194.205088;458.81728434562683
num_aligns;KNR 3;PCA-70;0.0;457.6920847892761
length;KNR 3;PCA-70;6800.57549858;435.6524999141693
prob1;KNR 3;PCA-70;483987.950321;428.1257162094116
prob2;KNR 3;PCA-70;128306.06231;446.08695459365845
prob1;KNR 3;ANOVA-30;30677.9093887;187.2138955593109
prob2;KNR 3;ANOVA-30;12306.2678409;199.5210943222046
prob1;KNR 3;ANOVA-50;28689.8268319;179.98373126983643
prob2;KNR 3;ANOVA-50;22924.1982125;221.66950964927673
prob1;KNR 3;ANOVA-70;29834.6078088;196.70219373703003
prob2;KNR 3;ANOVA-70;28630.0363653;229.8117847442627
num_aligns;KNR 5;PCA-30;0.0656;375.12799167633057
length;KNR 5;PCA-30;9895.13142857;353.0192279815674
prob1;KNR 5;PCA-30;143893.675465;382.87931299209595
