FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
num_aligns;Linear Regression;PCA;0.0;65.56123352050781
num_aligns;Linear Regression;Percentage;0.0;32.96031737327576
num_aligns;KNR 3;PCA;0.0;64.55241823196411
num_aligns;KNR 3;Percentage;0.0;32.381032943725586
num_aligns;KNR 5;PCA;0.0;63.7241747379303
num_aligns;KNR 5;Percentage;0.0;31.541167497634888
num_aligns;KNR 7;PCA;0.0;63.61474061012268
num_aligns;KNR 7;Percentage;0.0;31.47545862197876
num_aligns;SVR;PCA;0.0;64.61639046669006
num_aligns;SVR;Percentage;0.0;32.294700145721436
num_aligns;Multi Layer Perceptron;PCA;0.0;64.68964314460754
num_aligns;Multi Layer Perceptron;Percentage;0.0;32.34375834465027
length;Linear Regression;PCA;0.0;64.63338112831116
length;Linear Regression;Percentage;0.0;34.15851140022278
length;KNR 3;PCA;0.0;64.62331032752991
length;KNR 3;Percentage;0.0;34.2002694606781
length;KNR 5;PCA;0.0;63.60207438468933
length;KNR 5;Percentage;0.0;33.324315786361694
length;KNR 7;PCA;0.0;63.561713457107544
length;KNR 7;Percentage;0.0;33.140848875045776
length;SVR;PCA;0.0;64.5397880077362
length;SVR;Percentage;0.0;34.189454317092896
length;Multi Layer Perceptron;PCA;0.0;64.58301949501038
length;Multi Layer Perceptron;Percentage;0.0;34.1955885887146
prob1;Linear Regression;PCA;0.0;64.59128713607788
prob1;Linear Regression;Percentage;2272.5619326512683;34.65548062324524
prob1;KNR 3;PCA;0.0;64.4616117477417
prob1;KNR 3;Percentage;2272.5619326512683;34.67189693450928
prob1;KNR 5;PCA;0.0;63.579875230789185
prob1;KNR 5;Percentage;2272.5619326512683;33.87929177284241
prob1;KNR 7;PCA;0.0;63.5256667137146
prob1;KNR 7;Percentage;2272.5619326512683;84488.22030425072
prob1;SVR;PCA;0.0;67.68298292160034
prob1;SVR;Percentage;2272.5619326512683;36.355199575424194
prob1;Multi Layer Perceptron;PCA;0.0;67.72678136825562
prob1;Multi Layer Perceptron;Percentage;2272.5619326512683;35.115097522735596
prob2;Linear Regression;PCA;0.0;66.98880338668823
prob2;Linear Regression;Percentage;2272.5619326512683;37.393641233444214
prob2;KNR 3;PCA;0.0;72.39072179794312
prob2;KNR 3;Percentage;2272.5619326512683;36.191532611846924
prob2;KNR 5;PCA;0.0;65.19889235496521
prob2;KNR 5;Percentage;2272.5619326512683;33.99745774269104
prob2;KNR 7;PCA;0.0;63.99592638015747
prob2;KNR 7;Percentage;2272.5619326512683;33.7996666431427
prob2;SVR;PCA;0.0;64.93727469444275
prob2;SVR;Percentage;2272.5619326512683;34.779415130615234
prob2;Multi Layer Perceptron;PCA;0.0;66.92901039123535
prob2;Multi Layer Perceptron;Percentage;2272.5619326512683;35.081170082092285
