FEATURE;MODEL;PRECISION;RECALL;TIME
num_aligns;KNNFeatureRecommender;0.905998956703;0.940845070423;108.17974424362183
num_aligns;RankFeatureRecommender;0.949118611037;0.892957746479;54.556729555130005
length;KNNFeatureRecommender;0.377689509072;0.476063829787;115.21072602272034
length;RankFeatureRecommender;0.0;0.0;12094.234168291092
model1;KNNFeatureRecommender;0.522639917951;0.582446808511;245.8119478225708
model1;RankFeatureRecommender;0.556392375069;0.454787234043;1649.7676470279694
prob1;KNNFeatureRecommender;0.34603475449;0.43085106383;118.20997762680054
prob1;RankFeatureRecommender;0.022695035461;0.0212765957447;13389.646826982498
model2;KNNFeatureRecommender;0.6289706691;0.595744680851;261.2911467552185
model2;RankFeatureRecommender;0.551126091958;0.406914893617;1416.5464837551117
prob2;KNNFeatureRecommender;0.34603475449;0.43085106383;116.66090822219849
prob2;RankFeatureRecommender;0.022695035461;0.0212765957447;13048.51848745346
num_aligns;KNNFeatureRecommender;0.900208673562;0.937125748503;104.3418881893158
num_aligns;RankFeatureRecommender;0.945906167463;0.88622754491;52.70768594741821
length;KNNFeatureRecommender;0.315514867946;0.476063829787;110.65493631362915
length;RankFeatureRecommender;0.0;0.0;9977.390294075012
model1;KNNFeatureRecommender;0.536266614352;0.585106382979;227.83360052108765
model1;RankFeatureRecommender;0.558024958431;0.476063829787;1447.1169991493225
prob1;KNNFeatureRecommender;0.284058084674;0.43085106383;113.10570240020752
prob1;RankFeatureRecommender;0.022695035461;0.0212765957447;12933.71185207367
model2;KNNFeatureRecommender;0.494421186656;0.558510638298;244.33806705474854
model2;RankFeatureRecommender;0.494389180559;0.351063829787;1262.3497829437256
prob2;KNNFeatureRecommender;0.284058084674;0.43085106383;112.6661946773529
prob2;RankFeatureRecommender;0.022695035461;0.0212765957447;12455.39956665039
num_aligns;KNNFeatureRecommender;0.893483267288;0.923566878981;102.53911876678467
num_aligns;RankFeatureRecommender;0.942407829281;0.869426751592;51.75328183174133
length;KNNFeatureRecommender;0.261225787059;0.441489361702;108.08928227424622
length;RankFeatureRecommender;0.0;0.0;10053.474725723267
model1;KNNFeatureRecommender;0.53327606512;0.542553191489;227.8697166442871
model1;RankFeatureRecommender;0.558024958431;0.476063829787;1334.2728054523468
prob1;KNNFeatureRecommender;0.234914415967;0.396276595745;109.06986999511719
prob1;RankFeatureRecommender;0.022695035461;0.0212765957447;12499.076482534409
model2;KNNFeatureRecommender;0.460056328344;0.545212765957;198.05981993675232
model2;RankFeatureRecommender;0.493484854033;0.351063829787;1091.1165883541107
prob2;KNNFeatureRecommender;0.234914415967;0.396276595745;83.62806510925293
prob2;RankFeatureRecommender;0.022695035461;0.0212765957447;8082.388243675232
